ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2014/055153,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055155,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055156,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055157,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055158,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055159,Unspecified,,"(-3.58697824990, 39.81762577620)",KIBARANI,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/054751,Unspecified,,"(-3.56811308275, 39.88019657080)",TEZO,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2012/054011,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,60000000,60000000,10/27/2006 12:00:00 AM,07/01/2012 12:00:00 AM,,06/30/2018 12:00:00 AM,,71 months 29 days,71 months,KKB Settlement Infrastructure Improvement Programme,TO IMPROVE INFRASTRUCTURE IN THE SLUM AREAS OF KILIFI,TO UPGRADE INFRASTRUCTURE FACILITIES IN KILIFI,010200 - Housing Development and Human Settlement,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1111 - Ministry of Land Housing and Urban Development,Ongoing,Unspecified,0
2013/054064,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,60000000,60000000,10/26/2006 12:00:00 AM,07/01/2013 12:00:00 AM,,06/30/2018 12:00:00 AM,,59 months 29 days,59 months,Slum Upgrading In Kilifi,TO UPGRADE INFRASTRUCTURE IN THE SLUMS OF KILIFI,TO ENSURE THAT THE LIVELIHOOD OF THE RESIDENTS ARE IMPROVED,010200 - Housing Development and Human Settlement,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1111 - Ministry of Land Housing and Urban Development,Planned,Unspecified,0
2013/054557,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2014/054639,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,22800000,22800000,10/27/2006 12:00:00 AM,02/01/2014 12:00:00 AM,,06/30/2017 12:00:00 AM,,40 months 29 days,40 months,"Provision of Tools, Equipments and Furniture For Completed Polytechnics","CARRY OUT NEEDS ASSESSMENT SURVEY, PROCURE TOOLS, EQUIPMENT AND FURNITURE, TRAINING ON INVENTORY, USAGE AND MAINTENCE, M&E",TO ENHANCE THE SKILLS OF THE YOUTH,050100 - Primary Education,Unspecified,Unspecified,1062 - State Department for Science and Technology,Pipelined,Education,0
2014/054656,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,15000000,42710988,05/01/2012 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2014 12:00:00 AM,,23 months 28 days,23 months,Construction Of Multipurpose Hall In Malindi,Construction of multipurpose hall in Malindi,Provide social services in informal settlements,010200 - Housing Development and Human Settlement,Ministry of Land Housing and Urban Development,"Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism",1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/054678,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,13900000,13900000,10/27/2006 12:00:00 AM,02/25/2014 12:00:00 AM,,06/30/2017 12:00:00 AM,,40 months 5 days,40 months,Capacity Building In 18yp'S,TO BUILD THE CAPACITY OF INSTRUCTORS IN 18 YPS BEING ASSISTED THROUGH KIDDP,TO IMPROVE THE QUALITY OF TECHNICAL SKILLS OF THE INSTRUCTORS,050100 - Primary Education,Unspecified,Unspecified,1062 - State Department for Science and Technology,Planned,Education,0
2014/055426,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,417500,417500,09/01/2014 12:00:00 AM,11/26/2014 12:00:00 AM,,11/27/2014 12:00:00 AM,,1 day,0,County Forum in Kilifi,A forum to bring together all Civil Registration and Vital Statistics (CRVS) stakeholders in Kilifi county,To raise registration coverage for births and deaths to 100%,060500 - Population Management Services,Unspecified,Unspecified,102 - Ministry of Interior and Coordination of National Government,Pipelined,"Governance, Justice, Law and Order (GJLOS)",0
2014/054981,Unspecified,,"(-3.46344100000, 39.88955000000)",,KILIFI NORTH,KILIFI,,,,,,,,,,,,,,,,,,,0
2012/054028,Unspecified,,"(-3.45509600000, 39.51079700000)",,GANZE,KILIFI,,1377074,10/27/2006 12:00:00 AM,07/01/2009 12:00:00 AM,,06/30/2014 12:00:00 AM,,59 months 29 days,59 months,Vitengeni Youth Polytechnic,construction and rehabilitation of village polytechnics,to ensure that the youth are trained in life saving skills,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2013/054557,Unspecified,,"(-3.42752700000, 37.95963000000)",,TAVETA,TAITA TAVETA,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2013/054624,Unspecified,,"(-3.42752700000, 37.95963000000)",,TAVETA,TAITA TAVETA,4800000000,9600000000,02/04/2013 12:00:00 AM,12/09/2013 12:00:00 AM,,12/31/2018 12:00:00 AM,,60 months 22 days,60 months,Arusha-Holili/Taveta-Voi Road Project,"The project is to develop the road corridor between Arusha in Tanzania and Voi, and to Mombasa port in Kenya",Project will contribute to the reduction of poverty and promote regional intergration,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2014/054835,Unspecified,,"(-3.42752700000, 37.95963000000)",,TAVETA,TAITA TAVETA,567489812,2269959247,04/03/2011 12:00:00 AM,03/05/2011 12:00:00 AM,,02/15/2014 12:00:00 AM,,35 months 10 days,35 months,Voi-Mwatate (A23),The project works are located in Taita Taveta county and the road measures approximately 91 km,To enhance accessibility for easier movement of goods and services,020200 - Road Transport,Unspecified,Unspecified,133 - MOR - Kenya National Highway Authority,Ongoing,"Energy, Infrastructure and ICT",0
2014/055203,Unspecified,,"(-3.42752700000, 37.95963000000)",,TAVETA,TAITA TAVETA,8125000000,9750000000,07/15/2013 12:00:00 AM,07/16/2013 12:00:00 AM,,12/31/2018 12:00:00 AM,,65 months 15 days,65 months,UPGRADING OF MWATATE-TAVETA ROAD PROJECT (MULTINATIONAL: ARUSHA-HOLILI/TAVETA-VOI ROAD PROJECT),"This project entails development of a priority road corridor between Arusha in Tanzania and Voi in Kenya, and onwards to Mombasa Port. The project has the following components as described below:
ΓÇóCivil Works ΓÇô Involves construction of Mwatate-Taveta","The objective of the project is to develop the priority road corridor between Arusha in Tanzania and Voi, and onward to Mombasa Port in Kenya in order to reduce transport costs and facilitate cross-border trade, enhance tourism and improve accessibility",020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2014/055048,Unspecified,,"(-3.42752700000, 37.95963000000)",,TAVETA,TAITA TAVETA,,,,,,,,,,,,,,,,,,,0
2011/053143,Unspecified,,"(-3.36597500000, 38.64886500000)",,VOI,TAITA TAVETA,84979344,410916017,07/01/2010 12:00:00 AM,07/01/2010 12:00:00 AM,,05/22/2015 12:00:00 AM,,58 months 21 days,58 months,Voi Primary Teachers Training College (Pttc) Phase I,"The project entails the completion of facilities at Voi PTTC including pavilion, swimming pool, landscaping, play grounds and sports fields, walkways, storm water drainage, roads and car parks, fencing and gates and associated electrical and mechanical w","To complete the construction of sports and other facilities that had stalled in Voi PTTC(pavilion, swimming pool, landscaping, play grounds and sports fields, walkways, storm water drainage, roads and car parks, fencing and gates and associated electrica",010300 - Government Buildings,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055203,Unspecified,,"(-3.36597500000, 38.64886500000)",,VOI,TAITA TAVETA,8125000000,9750000000,07/15/2013 12:00:00 AM,07/16/2013 12:00:00 AM,,12/31/2018 12:00:00 AM,,65 months 15 days,65 months,UPGRADING OF MWATATE-TAVETA ROAD PROJECT (MULTINATIONAL: ARUSHA-HOLILI/TAVETA-VOI ROAD PROJECT),"This project entails development of a priority road corridor between Arusha in Tanzania and Voi in Kenya, and onwards to Mombasa Port. The project has the following components as described below:
ΓÇóCivil Works ΓÇô Involves construction of Mwatate-Taveta","The objective of the project is to develop the priority road corridor between Arusha in Tanzania and Voi, and onward to Mombasa Port in Kenya in order to reduce transport costs and facilitate cross-border trade, enhance tourism and improve accessibility",020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2012/053953,Nation Wide - Kenya,,"(-3.34161687350, 39.65721677800)",SOKOKE,GANZE,KILIFI,47598750,63465000,12/31/2011 12:00:00 AM,01/31/2012 12:00:00 AM,,07/31/2017 12:00:00 AM,,66 months 0,66 months,Rural Electrification Project,Supply and construction of 19991 km of 33kV medium voltage distribution lines and 591 units of 33/0.415 kVA distribution transformers and 709 km of 415 V low voltage distribution lines.,Electrification of 591 centres and about 35450 households in 66 constituencies accross Kenya.,021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2013/054258,Unspecified,,"(-3.25695047064, 40.11807183250)",SHELLA,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/054737,Unspecified,,"(-3.25695047064, 40.11807183250)",SHELLA,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/055140,Unspecified,,"(-3.25695047064, 40.11807183250)",SHELLA,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2010/052263,Nation Wide - Kenya,,"(-3.24244532144, 37.97927228980)",CHALA,TAVETA,TAITA TAVETA,2142000000,2142000000,02/23/2009 12:00:00 AM,07/01/2010 12:00:00 AM,,06/30/2016 12:00:00 AM,,71 months 29 days,71 months,Community Empowerement And Institutional Support Project (CEISP),"The project comprises of two components;
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f",The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.,070600 - Economic Policy and National Planning,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2012/053927,Unspecified,,"(-3.23669452107, 40.08781079750)",MALINDI TOWN,MALINDI,KILIFI,900000000,900000000,11/12/2008 12:00:00 AM,11/12/2008 12:00:00 AM,01/07/2010 12:00:00 AM,06/30/2015 12:00:00 AM,,79 months 18 days,79 months,Coast Water & Sanitation Programme,The project is meant to supply safe and clean water to the City of Mombasa and its environs through expansion and rehabilitation of water supply and sewerage systems.,The projects aims at rehabilitating and extensions of water and sewerage infrastructure for Mombasa city.,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.,Ongoing,"Environmental Protection, Water and Natural Resources",0
2013/054227,Unspecified,,"(-3.23669452107, 40.08781079750)",MALINDI TOWN,MALINDI,KILIFI,167912040,167912040,01/10/2005 12:00:00 AM,01/10/2005 12:00:00 AM,10/01/2005 12:00:00 AM,06/30/2018 12:00:00 AM,,161 months 20 days,161 months,"National Museums Of Kenya (Nmk): Kipepeo Butterfly Project, Malindi.","Support implementation of forest co-management initiative, butterfly farming, biodiversity and conservation efforts in Kenya's coastal area.",Promote conservation and biodiversity management in Coastal region,100200 - Environment Management and Protection,Ministry of Environment Water and Natural Resources,Rehabilitation and Protection of indigenous forests in the five water towers,1131 - Ministry of Sports Culture and Arts; 119 - MONHC - National Museums of Kenya,Ongoing,"Environmental Protection, Water and Natural Resources",0
2014/055049,Unspecified,,"(-3.23669452107, 40.08781079750)",MALINDI TOWN,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2011/053226,Unspecified,,"(-3.23428977466, 39.82867106560)",JILORE,MALINDI,KILIFI,9000000,15000000,,07/01/2011 12:00:00 AM,,06/30/2014 12:00:00 AM,,35 months 29 days,35 months,Chakama Settlement Scheme Project,Opening up of 18KM access roads and laying of pipes for 20KM for supply of water,"- To improve social infrastructure to enhance plot occupancy
-To provide sustainable settlement on agricultural viable land
-To increase food security",010100 - Land Policy and Planning,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2012/053839,Unspecified,,"(-3.23428977466, 39.82867106560)",JILORE,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/054751,Unspecified,,"(-3.21837958605, 39.98733837430)",KAKUYUNI,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/054657,Unspecified,,"(-3.21404300000, 39.91425700000)",,MALINDI,KILIFI,69000000,69000000,02/07/2012 12:00:00 AM,08/27/2012 12:00:00 AM,,08/26/2013 12:00:00 AM,,11 months 30 days,11 months,Installation Of &Nbsp;High Mast Floodlighting Structures,"High mast floodlighting structures distributed in the following slums as follows:- Bungoma (3), Nyahururu(3), Maua(3), Embu (3) and Malindi (3) .",To improve security of the dwellers by lighting the neighborhood.,010200 - Housing Development and Human Settlement,Ministry of Land Housing and Urban Development,"Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism",1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055412,Unspecified,,"(-3.21404300000, 39.91425700000)",,MALINDI,KILIFI,176566786,353133571,10/22/2014 12:00:00 AM,09/01/2014 12:00:00 AM,,12/31/2015 12:00:00 AM,,15 months 30 days,15 months,Ministry of Health -reproductive and maternal health services,reproductive and maternal health services,reproductive and maternal health services,040500 - Maternal and Child Health,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Health,0
2013/054216,Unspecified,,"(-3.19581196007, 40.10644395860)",SABAKI,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2014/054751,Unspecified,,"(-3.19581196007, 40.10644395860)",SABAKI,MALINDI,KILIFI,,,,,,,,,,,,,,,,,,,0
2013/054216,Unspecified,,"(-3.14036947176, 40.09361079710)",MAGARINI,MAGARINI,KILIFI,,,,,,,,,,,,,,,,,,,0
2013/054250,Unspecified,,"(-3.11239894929, 39.88804057010)",GARASHI,MAGARINI,KILIFI,,,,,,,,,,,,,,,,,,,0
2012/053369,Unspecified,,"(-3.07036352357, 37.72701116460)",ROMBO,KAJIADO SOUTH,KAJIADO,6753355705,8104026846,12/22/2012 12:00:00 AM,12/31/2012 12:00:00 AM,06/12/2007 12:00:00 AM,12/31/2018 12:00:00 AM,,120 months 25 days,120 months,Judicial Preformance Improvement Project (JPIP),"Improve the performance of judiciary to provide its services in the project areas in a more effective and accountable manner.
Project has four components:
i) Court Administration and Case Management
ii) Judiciary Training and Staff Development
iii) Court",To improve the performance of the Judiciary to provide its services in the Project areas in a more effective and accountable manner.,060700 - Constitutional Reforms,Office of The Attorney General and Department of Justice,Constitutional Reform,1261 - The Judiciary,Ongoing,"Governance, Justice, Law and Order (GJLOS)",0
