ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2012/053977,Unspecified,,,,,,15625000,39062500,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Gender And Education (UNGEI),promoting access to educaation at all levels by girls and acheiving gender parity in education. Ensuring high transition rates among girls.,Increase GER for ECD and pprimary educaation especially in ASAL areas.,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education; 1061 - State Department for Education,Ongoing,Education,0
2012/053978,Kenya,,,,,,7031250,35156250,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Non Formal Education,Set up framework for national complimentary basic education programmewith clear linkage to formal education,A natioanl framework is available and in use.,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2012/053979,Unspecified,,,,,,15625000,39062500,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,NOKET (Girls Scholarships),Provision of scholarships for girls especiallly in the ASAL areas.,Reduce the gender disparity especially in ASAL districts. Increase attendance retention and transition of girls especially in the ASAL areass,071000 - Public Service Transformation,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution,Ongoing,Public Administration and International Relations (PAIR),0
2012/053980,Unspecified,,,,,,15625000,39062500,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Disaster Mitigation Programme (Emergency Nutrition),Ensure availability and provision of emergency nutrition to populations in the ASAL areas during drought and other natural disisters.,Increace percentage of people that receive adequate and timely emergency nutrition during disasters.,071300 - Special Initiatives,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution,Ongoing,Public Administration and International Relations (PAIR),0
2012/053981,Unspecified,,,,,,250000,500000,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Emergency Response,Facilitate emergency response,Increse the number of people that receive quality and timely support during emergencies.,071300 - Special Initiatives,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution,Ongoing,Public Administration and International Relations (PAIR),0
2012/053982,Unspecified,,,,,,10937500,27343750,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Life Skills And National Youth Council,Skill building for youth to improve awareness and bring behaviur change.,Number of youth equipped with life skills,071100 - Gender & Youth Empowerment,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1131 - Ministry of Sports Culture and Arts; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2012/053983,Unspecified,,,,,,10937500,27343750,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Young Leaders For Life,Providing leadership training for youn people.,Number of young people trained on leadership.,071100 - Gender & Youth Empowerment,Unspecified,Unspecified,1131 - Ministry of Sports Culture and Arts; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2012/053984,Unspecified,,,,,,10937500,27343750,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Students Council,Support to students council,Number of students councils supported,"050600 - Research, Science, Technology and Innovation",Unspecified,Unspecified,106 - Ministry of Education; 1061 - State Department for Education,Ongoing,Education,0
2012/053985,Unspecified,,,,,,15625000,39062500,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Education In Emergencies,Support to education during emergencies.,Number of institutions supported,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education; 1061 - State Department for Education,Ongoing,Education,0
2012/053989,Unspecified,,,,,,2039000,4078000,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Nutrition,Reduce chronic mulnutrition in children and reduce infant child and maternal mortality.,Improved care practices by households. Exclusive brest feeding of infants,040100 - Preventive & Promotive Health Services,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Health,0
